user_id,topic_id,status,last_update_time,last_seeded_time,first_update_time
4813816,2380443,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
10008096,2380443,1,2026-06-20 12:05:01,2026-07-30 16:05:01,2024-02-07 09:47:00
10126551,2380443,16777473,2026-07-30 14:47:22,2026-07-30 08:05:01,2024-06-23 12:39:03
4813816,6616940,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-12-21 07:39:35
5370951,6616940,1,2026-07-29 23:05:01,2026-07-30 16:05:01,2026-03-02 23:05:01
10126551,6616940,16777473,2026-07-30 14:47:22,2026-07-30 05:05:01,2025-01-27 16:05:01
4813816,6851788,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2026-04-29 01:05:01
5370951,6851788,1,2026-07-29 23:05:01,2026-07-30 16:05:01,2026-05-24 23:05:01
10126551,6851788,16777473,2026-07-30 14:47:22,2026-07-30 00:05:01,2026-04-30 20:05:01
4813816,6060844,1,2026-07-30 01:05:01,2026-07-30 11:05:01,2024-02-25 04:00:00
10126551,6060844,16777473,2026-07-30 14:47:22,2026-07-22 01:05:01,2024-06-30 09:16:08
27746861,6060844,1,2026-07-29 17:05:01,2026-07-30 13:05:01,2024-02-21 14:19:00
4813816,6145498,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
10126551,6145498,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-06-29 12:38:54
27746861,6145498,1,2026-07-29 17:05:01,2026-07-30 16:05:01,2024-03-12 12:31:00
4813816,6724027,1,2026-07-30 01:05:01,2026-07-29 16:05:01,2025-07-26 01:05:01
5370951,6724027,1,2026-07-29 23:05:01,2026-07-30 16:05:01,2026-03-05 18:05:02
10126551,6724027,16777473,2026-07-30 14:47:22,2026-07-29 04:05:01,2025-08-20 21:05:01
4813816,5151903,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
10126551,5151903,16777473,2026-07-30 14:47:22,2026-07-30 16:05:01,2024-06-22 16:39:40
27746861,5151903,1,2026-07-29 17:05:01,2026-07-30 16:05:01,2024-02-21 14:19:00
4813816,5411974,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
10008096,5411974,1,2026-06-20 12:05:01,2026-07-30 16:05:01,2024-02-07 09:47:00
10126551,5411974,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-06-23 12:39:03
4813816,5187644,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
5370951,5187644,1,2026-07-29 23:05:01,2026-07-30 16:05:01,2026-04-02 23:05:01
10008096,5187644,1,2026-06-20 12:05:01,2026-07-30 16:05:01,2024-02-07 09:47:00
10126551,5187644,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-06-21 12:38:56
4813816,4804181,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2024-02-25 04:00:00
10008096,4804181,1,2026-06-20 12:05:01,2026-07-30 16:05:01,2024-02-07 09:47:00
10126551,4804181,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2024-06-21 12:38:56
4813816,6875436,1,2026-07-30 01:05:01,2026-07-30 16:05:01,2026-06-27 01:05:01
5370951,6875436,1,2026-07-29 23:05:01,2026-07-30 16:05:01,2026-07-15 23:05:01
10126551,6875436,16777473,2026-07-30 14:47:22,2026-07-30 04:05:01,2026-06-26 19:05:02
