topic_id,reg_time,topic_poster,info_hash,tor_size_bytes,keeping_priority,seeder_last_seen,seeders,keeper_seeders,average_seeds_count,average_seeds_sum,topic_title
5688546,2,28811852,1FDA46EFD3E236FA29DED04358E629F8D68A251B,58458311472,2,2026-07-31 02:21:01,4,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{28,167,161,159,152,168,169,142,146,140,133,127,121,124,132,128,139,155,163,180,144,119,140,152,136,139,170,162,144,158,136}","Конец ***го мира / The End of the F***ing World / Сезон: 1 / Серии: 1-8 из 8 (Джонатан Энтвистл, Люси Черняк) [2017, Великобритания, драма, комедия, WEBRip 2160p, 4K] MVO (NewStudio) + Original + Sub (Rus, Eng etc.)"
5832209,2,22279982,13BBF4F1679761E0E2B8BE5AB2A34E489CC80C6F,94241799599,2,2026-07-31 02:21:01,4,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{28,82,84,98,98,84,106,92,103,88,69,85,97,97,88,96,96,98,78,90,86,82,81,84,94,75,70,58,67,98,87}","Дракула / Dracula / Сезон: 1 / Серии: 1-3 из 3 (Джонни Кэмпбелл / Jonny Campbell, Пол МакГиган / Paul McGuigan, Дэймон Томас / Damon Thomas) [2020, Великобритания, ужасы, драма, WEBRip 2160p, 4k] Dub (Невафильм) + Original Eng + Sub (Rus, Eng)"
5834290,2,22279982,8FD21DEB4DAA68920E85E895DD936B91332336B9,26191144036,2,2026-07-31 02:21:01,5,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{31,107,103,115,132,145,142,153,125,125,135,136,135,153,129,121,139,132,140,172,163,111,143,153,163,215,228,214,236,225,195}","Дракула / Dracula / Сезон: 1 / Серии: 1-3 из 3 (Джонни Кэмпбелл, Пол МакГиган, Дэймон Томас) [2020, Великобритания, ужасы, драма, HEVC, WEBRip 2160p, 4K] Dub (Невафильм), 4 x MVO (NewStudio, Jaskier, AlexFilm, HDRezka Studio) + Original Eng + Sub (Rus, Eng)"
5906363,2,6931475,4B2094EC763DEC1958A496E0AACBCEAA7E1ED9FF,17867807002,2,2026-07-31 02:21:01,19,4,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{134,423,406,478,426,464,498,456,458,456,454,471,560,526,524,510,473,447,470,525,534,514,525,514,475,419,400,478,449,441,471}","Дрянь / Fleabag / Сезон: 2 / Серии: 1-6 из 6 (Гарри Брэдбир, Тим Киркби) [2019, Великобритания, Драма, комедия, HEVC, HDR, WEBRip 2160p, 4k] 2x MVO (LostFilm | NewStudio) + Original + Sub (Rus, Eng, Deu, Fra, Ita, Esp, Dutch)"
5991399,2,886263,CBE6B6E65FE279D5263406AC86D80FFC35CB4289,10338856169,2,2026-07-31 02:21:01,3,3,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{21,51,43,69,73,65,46,75,57,73,63,60,54,80,96,90,84,84,72,59,68,59,60,60,68,61,68,53,79,97,73}","Доктор Кто / Doctor Who / Сезон: 13 / Новогодний спецэпизод 2021 «Революция далеков» (Крис Чибнелл) [2021, Великобритания, фантастика, HDR HLG, WEB-DL 2160p, 4k] Original + Sub (Eng, Rus [TeamNotDead])"
5993555,2,14944740,88B8AC6C182AAFA299B15B1B8C6AF62366C7C743,10441901223,2,2026-07-31 02:21:01,4,3,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{42,132,121,148,130,124,122,105,117,149,136,149,145,141,140,142,156,176,173,143,169,156,148,165,149,112,76,58,82,80,67}","Доктор Кто / Doctor Who / Сезон: 12 / Серии: 11 из 12. Спецвыпуск «Революция далеков» (Крис Чибнелл) [2021, Великобритания, фантастика, драма, комедия, приключения, семейный, HDR HLG, WEB-DL 2160p, 4k] MVO (Sony SCI-FI) + Original (Eng)"
6008898,2,9115373,B5C0A18CBA5CD12AE58E4932983EC743BB732C93,14142502718,1,2026-07-31 02:21:01,6,1,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{45,158,145,140,123,128,145,83,94,101,97,115,117,97,85,94,84,71,71,73,69,65,57,63,69,61,73,86,87,92,87}","Бледный конь / The Pale Horse / Сезон: 1 / Серии: 1-2 из 2 (Леонора Лонсдэйл) [2020, Великобритания, Детектив, HEVC, HDR, WEB-DL 2160p, 4k] 2 x MVO (Первый канал | LostFilm) + Original + (Rus, Eng)"
6117569,2,12882701,4227D35C44A8D9D315FF42DDAF667745AED54068,42950448244,1,2026-07-31 02:21:01,16,3,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{118,376,420,399,412,427,388,423,378,432,429,459,526,425,442,387,448,456,498,524,542,458,466,465,479,433,559,581,440,452,484}","Сексуальное просвещение / Половое воспитание / Sex Education / Сезон: 1 / Серии: 1-8 из 8 (Кейт Херрон, Бен Тэйлор) [2019, Великобритания, драма, комедия, HDR10, WEB-DL 2160p, 4k] MVO (BTI Studios) + Original (Eng) + Sub (Rus, Eng)"
6117573,2,12882701,C93688B6F7A98D7E7EA7E5F8F2213D280171F2FF,48737800068,1,2026-07-31 02:21:01,13,4,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{89,274,319,312,344,295,328,334,279,274,284,293,341,302,336,350,365,337,334,316,376,312,370,375,401,322,374,430,380,388,398}","Сексуальное просвещение / Половое воспитание / Sex Education / Сезон: 2 / Серии: 1-8 из 8 (Кейт Херрон, Бен Тэйлор, Софи Гудхарт) [2020, Великобритания, драма, комедия, HDR10, WEB-DL 2160p, 4k] MVO (BTI Studios совместно со студией Пифагор) + Original (Eng) + Sub (Rus, Eng)"
6165557,2,12882701,F5CEB8189C20550E4AA6478D0ED7918B180FDB2A,25072091902,1,2026-07-31 02:21:01,99,6,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{669,2462,2410,2350,2231,2200,2100,2075,2212,2296,2111,2191,2196,2069,2084,2071,2050,2127,2144,1908,2018,1746,1931,2063,2021,2113,2008,2252,2126,2207,2087}","Чёрное зеркало / Black Mirror / Сезон: 5 / Серии: 1-3 из 3 (Оуэн Харрис, Джеймс Хоус, Анне Севитски) [2019, Великобритания, фантастика, триллер, драма, HEVC, HDR10, Dolby Vision, WEB-DL 2160p, 4k] [Hybrid] Dub (Пифагор) + Original (Eng) + Sub (Rus, Eng)"
6189268,2,12882701,BB0902AD8416AD10501AA8B510CFB5865BF62F15,19335347264,1,2026-07-31 02:21:01,4,2,"{7,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,25,24,24,24,25,24,24,26,24,24,24}","{30,98,98,109,101,95,93,96,111,103,92,98,103,125,108,106,99,117,111,113,131,113,127,124,109,96,101,131,113,111,121}","Индекс страха / The Fear Index / Сезон: 1 / Серии: 1-4 из 4 (Дэвид Кэффри) [2022, Великобритания, триллер, HEVC, HDR10, WEB-DL 2160p, 4k] MVO (Кравец-Рекордз) + Original + Sub (Rus, Eng)"
